strategy,stop_loss,take_profit,train_end,full_sharpe,full_final_equity,full_max_drawdown,train_sharpe,train_total_return,train_max_drawdown,test_sharpe,test_total_return,test_max_drawdown,test_avg_positions,is_improved_2_original,stop_rank_index,take_rank_index,neighbor_train_sharpe_median,neighbor_test_sharpe_median,neighbor_count,train_stability_gap,robust_train_score
improved_4_stop5_take30_top10,0.05,0.3,2020-12-31,1.1503776548860136,2751550.8645770648,-0.07363291161224894,1.2855835450769986,0.7149786778456677,-0.07363291161224894,1.0221463927398688,0.6044227838643004,-0.060194036239972215,9.846153846153847,False,0,4,1.2442743489001724,1.0329549686054402,5,0.04130919617682616,1.1706414372879235
improved_4_stop5_take25_top10,0.05,0.25,2020-12-31,1.147700677828371,2658342.225292929,-0.07420179684318107,1.31123644209315,0.7112935637149802,-0.07420179684318107,0.993027302179414,0.5534109878389519,-0.06066052361637175,9.846153846153847,False,0,3,1.2442743489001724,0.991950466484803,5,0.06696209319297752,1.1700725520569915
improved_4_stop5_take20_top10,0.05,0.2,2020-12-31,1.1125053783663816,2517502.1866183733,-0.07457857256559564,1.303574560415189,0.6982951736070231,-0.07457857256559564,0.9295140642805804,0.48237021793533663,-0.06094575189980567,9.846153846153847,False,0,2,1.2442743489001724,0.945548248620738,5,0.05930021151501652,1.1696957763345768
improved_4_stop5_take40_top10,0.05,0.4,2020-12-31,1.1601654451229009,2788543.5563281,-0.07329021644779643,1.2916307082026501,0.7172971381342317,-0.07329021644779643,1.0363019829134148,0.6237979406159919,-0.06012310564809509,9.846153846153847,False,0,5,1.2389149738907888,1.0329549686054402,3,0.052715734311861384,1.1656247574429923
improved_4_stop7p5_take25_top10,0.075,0.25,2020-12-31,1.1137063384753703,2778440.862125467,-0.09854560873060225,1.2442743489001724,0.7122821868521885,-0.09854560873060225,0.991950466484803,0.6226536043298312,-0.050970767417144125,9.846153846153847,False,1,3,1.2286397763895536,1.000855775576993,8,0.015634572510618838,1.1300941676589513
improved_4_stop7p5_take30_top10,0.075,0.3,2020-12-31,1.133298574996699,2889981.45333667,-0.09746606204183128,1.2389149738907888,0.725967300982878,-0.09746606204183128,1.0329549686054402,0.6744126332468323,-0.04864608070102283,9.846153846153847,False,1,4,1.2259615369604604,1.029224187826642,8,0.012953436930328355,1.1284954749186291
improved_4_stop7p5_take20_top10,0.075,0.2,2020-12-31,1.0788568979218747,2622047.44392203,-0.09938906250125912,1.2183645788883184,0.6892837967442325,-0.09938906250125912,0.945548248620738,0.5521651536441152,-0.05538540634648659,9.846153846153847,False,1,2,1.2109027520227449,0.9441612928108969,8,0.0074618268655735065,1.1115136895214857
improved_4_stop5_take15_top10,0.05,0.15,2020-12-31,1.0012812534940305,2238781.228672118,-0.0894648671556304,1.2774259413015272,0.6321979594834042,-0.07575590498679652,0.7526329122696526,0.37163584580187736,-0.08946486715563051,9.846153846153847,False,0,1,1.172666592951297,0.7970037197310137,5,0.10475934835023026,1.0969106879645005
improved_4_stop5_take10_top10,0.05,0.1,2020-12-31,0.7698667629471767,1802201.980712167,-0.1540994684601361,1.172666592951297,0.5109465147317771,-0.07751297968320348,0.4389228715056809,0.1927635843761768,-0.15409946846013622,9.846153846153847,False,0,0,1.1613529223522983,0.7526329122696526,3,0.011313670598998682,1.0838399426690948
improved_4_stop7p5_take40_top10,0.075,0.4,2020-12-31,1.1255276585089138,2923594.5166854467,-0.0986397263351273,1.2076487250207484,0.7151957469185128,-0.0986397263351273,1.0458383078365854,0.7045252834482114,-0.04894324482539558,9.846153846153847,False,1,5,1.2389149738907888,1.0363019829134148,5,-0.03126624887004037,1.0777427498155807
