strategy,stop_loss,take_profit,train_end,full_sharpe,full_final_equity,full_max_drawdown,train_sharpe,train_total_return,train_max_drawdown,test_sharpe,test_total_return,test_max_drawdown,test_avg_positions,is_improved_2_original,stop_rank_index,take_rank_index,neighbor_train_sharpe_median,neighbor_test_sharpe_median,neighbor_count,train_stability_gap,robust_train_score
improved_4_stop5_take30_top10,0.05,0.3,2020-12-31,0.7968352955066104,2751550.864577062,-0.07363291161224894,0.6991424525538853,0.7149786778456682,-0.07363291161224894,1.0221463927398688,0.6044227838642993,-0.060194036239972215,9.846153846153847,False,0,4,0.6785473630781435,1.0329549686054402,5,0.020595089475741846,0.6049144514658945
improved_4_stop5_take25_top10,0.05,0.25,2020-12-31,0.7950776014820302,2658342.225292926,-0.07420179684318107,0.7118455217999917,0.7112935637149795,-0.07420179684318107,0.993027302179414,0.5534109878389517,-0.06066052361637175,9.846153846153847,False,0,3,0.6785473630781435,0.991950466484803,5,0.03329815872184827,0.6043455662349624
improved_4_stop5_take20_top10,0.05,0.2,2020-12-31,0.7719093870370235,2517502.186618374,-0.07457857256559564,0.7080584268490254,0.6982951736070231,-0.07457857256559564,0.9295140642805804,0.4823702179353371,-0.06094575189980567,9.846153846153847,False,0,2,0.6785473630781435,0.945548248620738,5,0.029511063770881973,0.6039687905125478
improved_4_stop5_take40_top10,0.05,0.4,2020-12-31,0.8032564597731713,2788543.5563280997,-0.07329021644779643,0.7021429564455778,0.7172971381342335,-0.07329021644779643,1.0363019829134148,0.623797940615989,-0.06012310564809509,9.846153846153847,False,0,5,0.6758629489012721,1.0329549686054402,3,0.026280007544305706,0.6025727324534756
improved_4_stop7p5_take25_top10,0.075,0.25,2020-12-31,0.7727017456511639,2778440.862125469,-0.09854560873060225,0.6785473630781435,0.7122821868521882,-0.09854560873060225,0.991950466484803,0.6226536043298312,-0.050970767417144125,9.846153846153847,False,1,3,0.6707031783808906,1.000855775576993,8,0.007844184697252898,0.5721575696502883
improved_4_stop7p5_take30_top10,0.075,0.3,2020-12-31,0.7856102739717239,2889981.453336667,-0.09746606204183128,0.6758629489012721,0.7259673009828771,-0.09746606204183128,1.0329549686054402,0.6744126332468321,-0.04864608070102283,9.846153846153847,False,1,4,0.6693466606491544,1.029224187826642,8,0.006516288252117697,0.5718805986073231
improved_4_stop5_take15_top10,0.05,0.15,2020-12-31,0.6979952893154259,2238781.2286721207,-0.0894648671556304,0.6950889403965557,0.6321979594834051,-0.07575590498679652,0.7526329122696526,0.3716358458018787,-0.08946486715563051,9.846153846153847,False,0,1,0.6424484865113336,0.7970037197310137,5,0.052640453885222094,0.566692581524537
improved_4_stop7p5_take20_top10,0.075,0.2,2020-12-31,0.7496583174366278,2622047.443922028,-0.09938906250125912,0.6655434078605089,0.689283796744232,-0.09938906250125912,0.945548248620738,0.5521651536441168,-0.05538540634648659,9.846153846153847,False,1,2,0.6617319375597774,0.9441612928108969,8,0.0038114703007314787,0.5623428750585183
improved_4_stop5_take10_top10,0.05,0.1,2020-12-31,0.5411291760922404,1802201.9807121647,-0.1540994684601361,0.6424484865113336,0.5109465147317755,-0.07751297968320348,0.4389228715056809,0.19276358437617702,-0.15409946846013622,9.846153846153847,False,0,0,0.6366997936659489,0.7526329122696526,3,0.005748692845384706,0.5591868139827454
improved_4_stop7p5_take40_top10,0.075,0.4,2020-12-31,0.7804943720942721,2923594.516685447,-0.0986397263351273,0.6601459582201653,0.715195746918514,-0.0986397263351273,1.0458383078365854,0.7045252834482119,-0.04894324482539558,9.846153846153847,False,1,5,0.6758629489012721,1.0363019829134148,5,-0.01571699068110677,0.5457892412039312
