month,value,cash,return
2006-06-30,1000000.0,1000000.0,0.0
2006-07-31,1000000.0,1000000.0,0.0
2006-08-31,1000000.0,1000000.0,0.0
2006-09-30,1000000.0,1000000.0,0.0
2006-10-31,1000000.0,1000000.0,0.0
2006-11-30,1000000.0,1000000.0,0.0
2006-12-31,1000000.0,1000000.0,0.0
2007-01-31,1000000.0,1000000.0,0.0
2007-02-28,1000000.0,1000000.0,0.0
2007-03-31,1000000.0,1000000.0,0.0
2007-04-30,1000000.0,1000000.0,0.0
2007-05-31,1000000.0,1000000.0,0.0
2007-06-30,1000000.0,1000000.0,0.0
2007-07-31,1000000.0,1000000.0,0.0
2007-08-31,1000000.0,1000000.0,0.0
2007-09-30,1000000.0,1000000.0,0.0
2007-10-31,1000000.0,1000000.0,0.0
2007-11-30,1000000.0,1000000.0,0.0
2007-12-31,1000000.0,1000000.0,0.0
2008-01-31,1000000.0,1000000.0,0.0
2008-02-29,1000000.0,1000000.0,0.0
2008-03-31,1000000.0,1000000.0,0.0
2008-04-30,1000000.0,1000000.0,0.0
2008-05-31,1000000.0,1000000.0,0.0
2008-06-30,1000000.0,1000000.0,0.0
2008-07-31,1000000.0,1000000.0,0.0
2008-08-31,1000000.0,1000000.0,0.0
2008-09-30,1000000.0,1000000.0,0.0
2008-10-31,1000000.0,1000000.0,0.0
2008-11-30,1000000.0,1000000.0,0.0
2008-12-31,1000000.0,1000000.0,0.0
2009-01-31,1000000.0,1000000.0,0.0
2009-02-28,1000000.0,1000000.0,0.0
2009-03-31,1000000.0,1000000.0,0.0
2009-04-30,1000000.0,1000000.0,0.0
2009-05-31,1000000.0,1000000.0,0.0
2009-06-30,1000000.0,1000000.0,0.0
2009-07-31,1000000.0,1000000.0,0.0
2009-08-31,1000000.0,1000000.0,0.0
2009-09-30,1000000.0,1000000.0,0.0
2009-10-31,1000000.0,1000000.0,0.0
2009-11-30,1000000.0,1000000.0,0.0
2009-12-31,1000000.0,1000000.0,0.0
